Date,Home Team,Away Team,Win or Loss for Celtics,Win or Loss for Warriors,Celtics score,Warriors score,Streak
"Feb 25, 1953 ",Celtics,Warriors,W,L,87,80,Celtics won 1
"Feb 12, 1953 ",Warriors,Celtics,L,W,91,92,Warriors won 1
"Jan 7, 1953 ",Warriors,Celtics,W,L,84,82,Celtics won 8
"Dec 13, 1952 ",Celtics,Warriors,W,L,82,78,Celtics won 7
"Dec 10, 1952 ",None,None,W,L,103,97,Celtics won 6
"Dec 9, 1952 ",None,None,W,L,86,72,Celtics won 5
"Nov 27, 1952 ",Warriors,Celtics,W,L,83,70,Celtics won 4
"Nov 26, 1952 ",Celtics,Warriors,W,L,93,92,Celtics won 3
"Mar 16, 1952 ",Celtics,Warriors,W,L,96,89,Celtics won 2
"Mar 11, 1952",Warriors,Celtics,W,L,88,84,Celtics won 1
"Jan 29, 1952 ",Warriors,Celtics,L,W,96,97,Warriors won 2
"Jan 26, 1952 ",Celtics,Warriors,L,W,85,89,Warriors won 1
"Dec 16, 1951",Celtics,Warriors,W,L,92,90,Celtics won 1
"Dec 11, 1951 ",Warriors,Celtics,L,W,78,79,Warriors won 1
"Nov 25, 1951 ",Celtics,Warriors,W,L,103,85,Celtics won 5
"Nov 23, 1951",Warriors,Celtics,W,L,102,100,Celtics won 4
"Nov 10, 1951 ",None,None,W,L,83,69,Celtics won 3
"Feb 25, 1951 ",Celtics,Warriors,W,L,93,83,Celtics won 2
"Feb 16, 1951 ",Celtics,Warriors,W,L,81,76,Celtics won 1
"Feb 13, 1951 ",Warriors,Celtics,L,W,98,104,Warriors won 2
"Feb 1, 1951",Warriors,Celtics,L,W,80,82,Warriors won 1
"Jan 14, 1951 ",Celtics,Warriors,W,L,98,73,Celtics won 2
"Jan 13, 1951",Warriors,Celtics,W,L,97,87,Celtics won 1
"Nov 28, 1950 ",None,None,L,W,74,76,Warriors won 3
"Nov 4, 1950 ",Warriors,Celtics,L,W,68,77,Warriors won 2
"Mar 1, 1950 ",Warriors,Celtics,L,W,64,77,Warriors won 1
"Feb 23, 1950 ",None,None,W,L,82,77,Celtics won 2
"Jan 19, 1950 ",Celtics,Warriors,W,L,86,63,Celtics won 1
"Jan 18, 1950 ",Warriors,Celtics,L,W,86,94,Warriors won 1
"Dec 8, 1949 ",Celtics,Warriors,W,L,91,87,Celtics won 1
"Nov 16, 1949 ",Warriors,Celtics,L,W,80,93,Warriors won 1
"Mar 11, 1949 ",Celtics,Warriors,W,L,108,100,Celtics won 1
"Jan 14, 1949 ",Celtics,Warriors,L,W,79,104,Warriors won 2
"Dec 25, 1948 ",Warriors,Celtics,L,W,77,80,Warriors won 1
"Dec 2, 1948 ",Warriors,Celtics,W,L,88,87,Celtics won 2
"Nov 7, 1948 ",Celtics,Warriors,W,L,85,77,Celtics won 1
"Nov 4, 1948 ",Warriors,Celtics,L,W,73,94,Warriors won 4
"Mar 4, 1948 ",Warriors,Celtics,L,W,62,82,Warriors won 3
"Feb 12, 1948 ",Warriors,Celtics,L,W,60,69,Warriors won 2
"Jan 27, 1948 ",Celtics,Warriors,L,W,68,77,Warriors won 1
"Jan 22, 1948 ",Warriors,Celtics,W,L,61,54,Celtics won 4
"Dec 30, 1947 ",Celtics,Warriors,W,L,70,64,Celtics won 3
"Dec 12, 1947 ",Celtics,Warriors,W,L,69,67,Celtics won 2
"Nov 20, 1947 ",Warriors,Celtics,W,L,67,57,Celtics won 1
"Nov 14, 1947 ",Celtics,Warriors,L,W,74,79,Warriors won 5
"Mar 13, 1947 ",Warriors,Celtics,L,W,57,81,Warriors won 4
"Feb 3, 1947",Celtics,Warriors,L,W,55,61,Warriors won 3
"Jan 21, 1947 ",Warriors,Celtics,L,W,43,59,Warriors won 2
"Dec 27, 1946 ",Celtics,Warriors,L,W,60,63,Warriors won 1
"Dec 14, 1946 ",Celtics,Warriors,W,L,77,65,Celtics won 1
"Nov 26, 1946 ",Warriors,Celtics,L,W,54,66,Warriors won 1
